,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
1243,159,LogarithmicRegressionTrainer_43,curvefit,LogarithmicRegressionTrainer_43.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.21,9.66,9.21,9.66,LogarithmicRegressionTrainer,43,BPFOnly
1244,1540,SGDRegressorTrainer_104,scikit,SGDRegressorTrainer_104.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.22,4.6,9.22,4.6,SGDRegressorTrainer,104,BPFOnly
1245,2142,LinearRegressionTrainer_219,scikit,LinearRegressionTrainer_219.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.22,1.83,9.22,1.83,LinearRegressionTrainer,219,BPFOnly
1246,2382,KNeighborsRegressorTrainer_304,scikit,KNeighborsRegressorTrainer_304.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.22,12.87,9.22,12.87,KNeighborsRegressorTrainer,304,BPFOnly
1247,2801,LinearRegressionTrainer_253,scikit,LinearRegressionTrainer_253.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.22,5.5,9.22,5.5,LinearRegressionTrainer,253,BPFOnly
1248,1117,ExponentialRegressionTrainer_78,curvefit,ExponentialRegressionTrainer_78.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.26,6.68,9.26,6.68,ExponentialRegressionTrainer,78,BPFOnly
1249,2047,ExponentialRegressionTrainer_274,curvefit,ExponentialRegressionTrainer_274.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.26,4.12,9.26,4.12,ExponentialRegressionTrainer,274,BPFOnly
1250,2716,PolynomialRegressionTrainer_120,scikit,PolynomialRegressionTrainer_120.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,9.29,3.87,9.29,3.87,PolynomialRegressionTrainer,120,BPFOnly
1251,694,GradientBoostingRegressorTrainer_210,scikit,GradientBoostingRegressorTrainer_210.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.32,7.65,9.32,7.65,GradientBoostingRegressorTrainer,210,BPFOnly
1252,783,LogarithmicRegressionTrainer_85,curvefit,LogarithmicRegressionTrainer_85.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,9.32,9.35,9.32,9.35,LogarithmicRegressionTrainer,85,BPFOnly
