,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
429,2059,GradientBoostingRegressorTrainer_251,scikit,GradientBoostingRegressorTrainer_251.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.41,4.12,2.41,4.12,GradientBoostingRegressorTrainer,251,BPFOnly
430,3084,SVRRegressorTrainer_77,scikit,SVRRegressorTrainer_77.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.41,12.48,2.41,12.48,SVRRegressorTrainer,77,BPFOnly
431,586,LogisticRegressionTrainer_43,curvefit,LogisticRegressionTrainer_43.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.42,6.2,2.42,6.2,LogisticRegressionTrainer,43,BPFOnly
432,602,LogarithmicRegressionTrainer_260,curvefit,LogarithmicRegressionTrainer_260.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.42,25.45,2.42,25.45,LogarithmicRegressionTrainer,260,BPFOnly
433,1268,PolynomialRegressionTrainer_166,scikit,PolynomialRegressionTrainer_166.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.44,4.09,2.44,4.09,PolynomialRegressionTrainer,166,BPFOnly
434,2123,PolynomialRegressionTrainer_46,scikit,PolynomialRegressionTrainer_46.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.44,3.56,2.44,3.56,PolynomialRegressionTrainer,46,BPFOnly
435,2437,LogarithmicRegressionTrainer_285,curvefit,LogarithmicRegressionTrainer_285.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.44,1.68,2.44,1.68,LogarithmicRegressionTrainer,285,BPFOnly
436,2607,LinearRegressionTrainer_11,scikit,LinearRegressionTrainer_11.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.44,10.2,2.44,10.2,LinearRegressionTrainer,11,BPFOnly
437,2679,KNeighborsRegressorTrainer_18,scikit,KNeighborsRegressorTrainer_18.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.44,2.74,2.44,2.74,KNeighborsRegressorTrainer,18,BPFOnly
438,1438,LinearRegressionTrainer_82,scikit,LinearRegressionTrainer_82.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.45,1.83,2.45,1.83,LinearRegressionTrainer,82,BPFOnly
439,2326,ExponentialRegressionTrainer_289,curvefit,ExponentialRegressionTrainer_289.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.46,2.06,2.46,2.06,ExponentialRegressionTrainer,289,BPFOnly
440,2305,ExponentialRegressionTrainer_88,curvefit,ExponentialRegressionTrainer_88.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.47,2.28,2.47,2.28,ExponentialRegressionTrainer,88,BPFOnly
441,334,XgboostFitTrainer_92,xgboost,XgboostFitTrainer_92.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.48,3.94,2.48,3.94,XgboostFitTrainer,92,BPFOnly
442,655,LinearRegressionTrainer_259,scikit,LinearRegressionTrainer_259.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.48,15.11,2.48,15.11,LinearRegressionTrainer,259,BPFOnly
443,1530,PolynomialRegressionTrainer_170,scikit,PolynomialRegressionTrainer_170.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.49,3.58,2.49,3.58,PolynomialRegressionTrainer,170,BPFOnly
444,138,LogarithmicRegressionTrainer_6,curvefit,LogarithmicRegressionTrainer_6.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.5,23.31,2.5,23.31,LogarithmicRegressionTrainer,6,BPFOnly
445,301,KNeighborsRegressorTrainer_11,scikit,KNeighborsRegressorTrainer_11.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.5,10.22,2.5,10.22,KNeighborsRegressorTrainer,11,BPFOnly
446,1796,LogisticRegressionTrainer_303,curvefit,LogisticRegressionTrainer_303.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.5,4.11,2.5,4.11,LogisticRegressionTrainer,303,BPFOnly
447,1120,KNeighborsRegressorTrainer_280,scikit,KNeighborsRegressorTrainer_280.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.52,8.46,2.52,8.46,KNeighborsRegressorTrainer,280,BPFOnly
