,timestamp,packge_ratio_package,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,id
55,1695115828,1.0,501291.0,21156824187.666668,10295124876.0,107.07600000500679,0.0,0.0,33.675999999046326,1.0,all containers
56,1695115831,1.0,795374.3333333334,3073111802.666667,1576081701.6666665,12.221000004559755,0.0,0.0,9.800000004470348,1.0,all containers
57,1695115834,1.0,433989.3333333334,468344456.3333333,206311100.6666667,4.376000002026558,0.0,0.0,6.500999998301268,1.0,all containers
58,1695115837,1.0,485971.3333333334,473460704.6666667,183060386.0,1.7330000028014183,0.0,0.0,3.725290298461914e-09,1.0,all containers
59,1695115840,1.0,399289.3333333334,370300988.3333334,185794813.6666667,1.2000000029802322,0.0,0.0,0.0,1.0,all containers
60,1695115843,1.0,1006470.6666666666,1071253207.0,601297551.6666667,14.138000000268221,0.0,0.0,9.194000001996756,1.0,all containers
61,1695115846,1.0,1133957.3333333335,22154528354.333336,14727113992.333332,111.97800000756979,0.0,0.0,31.90999999642372,1.0,all containers
62,1695115849,1.0,648812.6666666666,24573742999.333336,15269310694.0,124.70000000298023,0.0,0.0,32.20500000566244,1.0,all containers
63,1695115852,1.0,441877.0,25975847382.333336,16188215736.333332,123.0109999999404,0.0,0.0,32.350000001490116,1.0,all containers
64,1695115855,1.0,441261.3333333334,24913759956.333336,16297900415.0,121.18300000578165,0.0,0.0,31.336000002920628,1.0,all containers
65,1695115858,1.0,507213.0,24330454128.0,15207558651.666668,125.52100000157952,0.0,0.0,33.26500000059605,1.0,all containers
66,1695115861,1.0,422678.3333333334,26416893006.333336,16259412850.666668,121.39600000157952,0.0,0.0,31.16600000113249,1.0,all containers
67,1695115864,1.0,353618.3333333334,23976477307.333332,16147733786.333332,123.01300000399351,0.0,0.0,32.85999999940395,1.0,all containers
68,1695115867,1.0,459732.3333333334,25657061943.0,15441640498.666666,122.04700000211596,0.0,0.0,31.739000000059605,1.0,all containers
69,1695115870,1.0,533238.6666666667,25569559458.666664,16025099418.333332,123.70500000566244,0.0,0.0,32.11100000143051,1.0,all containers
70,1695115873,1.0,434584.3333333334,23918668901.0,16355944980.333334,121.24399999901652,0.0,0.0,31.525000002235174,1.0,all containers
71,1695115876,1.0,498984.3333333334,5862990805.666666,3655806758.666667,20.231000006198883,0.0,0.0,0.5250000022351742,1.0,all containers
72,1695115879,1.0,477640.6666666667,668173057.6666667,401119528.3333334,4.104000002145767,0.0,0.0,4.279000002890825,1.0,all containers
73,1695115882,1.0,304301.3333333334,446159259.0,179419450.33333334,0.9360000044107437,0.0,0.0,0.0,1.0,all containers
74,1695115885,1.0,389649.3333333333,419713521.6666667,138550312.3333333,1.9780000001192093,0.0,0.0,2.409000001847744,1.0,all containers
75,1695115888,1.0,671380.0,830066121.0,367762212.0,9.679000005126,0.0,0.0,8.096999999135733,1.0,all containers
76,1695115891,1.0,1154593.6666666667,23721035943.666668,16771386649.666668,132.3530000001192,0.0,0.0,30.88800000399351,1.0,all containers
77,1695115894,1.0,812178.3333333334,29614994268.666664,24923944261.333332,157.24800000339746,0.0,0.0,32.58999999985099,1.0,all containers
78,1695115897,1.0,843118.3333333333,32062710369.333336,22319066092.666668,156.8340000063181,0.0,0.0,31.747999999672174,1.0,all containers
79,1695115900,1.0,1018755.6666666667,30858363199.666668,24732041832.0,158.20300000160933,0.0,0.0,31.966000005602837,1.0,all containers
80,1695115903,1.0,967709.0,30735200178.666664,22874673915.333332,157.74600000679493,0.0,0.0,32.15199999883771,1.0,all containers
81,1695115906,1.0,798500.3333333333,32160996153.0,24082877890.0,159.285000000149,0.0,0.0,32.841000001877546,1.0,all containers
82,1695115909,1.0,971226.3333333333,29726393484.333336,23389012701.666664,158.13500000163913,0.0,0.0,31.55399999767542,1.0,all containers
83,1695115912,1.0,775229.3333333333,32159418512.666668,23970456952.666668,158.31700000166893,0.0,0.0,32.48300000280142,1.0,all containers
84,1695115915,1.0,834146.0,30851967305.333336,22833988008.666664,155.27000000327826,0.0,0.0,30.95600000396371,1.0,all containers
85,1695115918,1.0,901680.0,30258549434.666664,24387948552.0,160.05600000545382,0.0,0.0,33.3340000025928,1.0,all containers
86,1695115921,1.0,830232.0,10814917354.333332,6188846804.0,51.06399999931455,0.0,0.0,14.056999996304512,1.0,all containers
87,1695115924,1.0,405720.6666666666,391794249.6666666,293587751.6666667,2.0580000057816505,0.0,0.0,0.4400000050663948,1.0,all containers
88,1695115927,1.0,375910.3333333334,235108893.6666667,260739638.3333333,0.20000000298023224,0.0,0.0,0.0,1.0,all containers
89,1695115930,1.0,429961.6666666666,268391539.0,332287585.0,3.0190000012516975,0.0,0.0,0.8940000012516975,1.0,all containers
90,1695115933,1.0,560710.6666666667,329464673.3333334,378467699.6666666,7.135000005364418,0.0,0.0,6.943000003695488,1.0,all containers
91,1695115936,1.0,1589537.6666666665,23181641207.666668,22105008226.0,136.70800000429153,0.0,0.0,32.37900000065565,1.0,all containers
92,1695115939,1.0,1884599.0,31703324498.666668,30293935192.666664,169.2550000026822,0.0,0.0,30.940000001341105,1.0,all containers
93,1695115942,1.0,1603451.3333333333,32839748325.0,31043342295.333332,174.05500000715256,0.0,0.0,34.09499999880791,1.0,all containers
94,1695115945,1.0,1290953.6666666665,30747088045.333336,29616839138.666664,167.47500000149012,0.0,0.0,31.124000001698732,1.0,all containers
95,1695115948,1.0,1346767.0,32848199957.666668,31125596086.0,172.33300000429153,0.0,0.0,33.40600000321865,1.0,all containers
96,1695115951,1.0,1529563.3333333335,31675233965.0,30003639491.999996,171.4320000000298,0.0,0.0,32.54500000178814,1.0,all containers
97,1695115954,1.0,1372373.0,31414882785.333332,30574718495.333332,170.75600000098348,0.0,0.0,32.858999997377396,1.0,all containers
98,1695115957,1.0,1262821.0,32880225158.333332,30746452620.666668,170.144000004977,0.0,0.0,32.350000001490116,1.0,all containers
99,1695115960,1.0,1329884.6666666667,30907406633.666664,29742163266.0,172.10500000044703,0.0,0.0,32.027000002563,1.0,all containers
100,1695115963,1.0,1444629.6666666667,32633037484.0,31716866069.666664,169.5650000050664,0.0,0.0,31.72800000011921,1.0,all containers
101,1695115966,1.0,941269.0,13272842282.5,11475770015.666668,78.81900000199676,0.0,0.0,12.61600000411272,1.0,all containers
102,1695115969,1.0,499303.0,465027520.0,342969721.3333334,4.086000006645918,0.0,0.0,6.7690000012516975,1.0,all containers
103,1695115972,1.0,359127.0,385117913.6666667,148410301.66666666,2.9519999995827675,0.0,0.0,0.8629999980330467,1.0,all containers
104,1695115975,1.0,272757.6666666667,366850139.3333334,166138478.0,1.8480000048875809,0.0,0.0,0.11100000143051147,1.0,all containers
105,1695115978,1.0,403630.3333333334,447286451.3333334,267009924.3333333,4.403000004589558,0.0,0.0,2.059000004082918,1.0,all containers
106,1695115981,1.0,1033657.6666666667,2337596151.0,950651632.0,141.79200000315905,0.0,0.0,33.01000000163913,1.0,all containers
107,1695115984,1.0,1627636.0,32525230183.0,35189563748.66667,179.1680000014603,0.0,0.0,34.997999999672174,1.0,all containers
108,1695115987,1.0,1689222.6666666667,31418320728.666668,36101616255.0,168.964000005275,0.0,0.0,29.492000002413988,1.0,all containers
109,1695115990,1.0,1635746.0,31769232966.666664,35805741370.33333,179.73499999940395,0.0,0.0,35.02800000086427,1.0,all containers
110,1695115993,1.0,1827849.3333333333,32433732593.0,35396826418.0,173.9180000051856,0.0,0.0,32.38900000229478,1.0,all containers
111,1695115996,1.0,1593623.6666666667,30990163573.666668,36117439883.333336,177.6359999999404,0.0,0.0,33.67999999970198,1.0,all containers
112,1695115999,1.0,1694757.3333333335,32411308090.666668,35394898561.666664,172.90500000491738,0.0,0.0,31.12500000372529,1.0,all containers
113,1695116002,1.0,1705158.6666666667,31502804651.333332,36336940309.666664,179.79200000315905,0.0,0.0,35.27699999883771,1.0,all containers
114,1695116005,1.0,1604184.6666666665,31693084643.333332,35154459482.33333,171.74399999901652,0.0,0.0,30.587999999523163,1.0,all containers
115,1695116008,1.0,1652105.0,32519453566.666664,36051413614.333336,180.01200000941753,0.0,0.0,35.23100000619888,1.0,all containers
116,1695116011,1.0,1202399.3333333333,16486218873.666668,17041647038.0,99.40300000086427,0.0,0.0,17.60700000077486,1.0,all containers
117,1695116014,1.0,575230.0,453777760.3333334,254206689.66666666,3.0440000034868717,0.0,0.0,0.0,1.0,all containers
118,1695116017,1.0,419730.0,284861050.6666667,192908137.0,1.300000000745058,0.0,0.0,0.0,1.0,all containers
119,1695116020,1.0,246731.66666666666,303844711.6666666,135855301.0,2.464000005275011,0.0,0.0,3.3530000038444996,1.0,all containers
120,1695116023,1.0,766478.3333333333,513916759.6666667,335274721.6666666,5.09400000423193,0.0,0.0,3.8979999981820583,1.0,all containers
121,1695116026,1.0,1006147.6666666667,2801316631.6666665,779593113.3333334,126.30200000107288,0.0,0.0,34.55900000035763,1.0,all containers
122,1695116029,1.0,1980924.6666666665,32283161707.0,34804731410.666664,171.5950000025332,0.0,0.0,30.304000005126,1.0,all containers
123,1695116032,1.0,1702826.0,31499381522.333332,36076068421.333336,177.16100000217557,0.0,0.0,33.87099999934435,1.0,all containers
