timestamp,bpf_cpu_time_us,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695120346,27668.666666666664,148.8279999991258,0.0,0.0,74.31866666674614,1,1.0
1695120349,27609.666666666668,140.18933333456516,0.0,0.0,70.01366666704416,1,1.0
1695120352,27837.333333333332,148.3070000000298,0.0,0.0,73.96333333353202,1,1.0
1695120355,27797.666666666668,142.90599999949336,0.0,0.0,71.25099999954303,1,1.0
1695120358,27829.0,145.8956666663289,0.0,0.0,72.91500000034769,1,1.0
1695120361,27936.333333333336,141.45833333333334,0.0,0.0,70.4320000000298,1,1.0
1695120364,27826.333333333336,143.48466666787863,0.0,0.0,71.26266666625936,1,1.0
1695120367,27667.0,146.06599999964237,0.0,0.0,71.09099999939401,1,1.0
1695120370,2580.0,42.7463333333532,0.0,0.0,40.967333334187664,1,1.0
1695120373,528.6666666666666,32.867666666706405,0.0,0.0,39.78633333245913,1,1.0
1695120376,499.3333333333333,32.176333333055176,0.0,0.0,38.401666667312384,1,1.0
1695120379,526.6666666666666,31.453666667143505,0.0,0.0,38.03900000080466,1,1.0
1695120382,565.6666666666666,34.632666666060686,0.0,0.0,40.28033333271742,1,1.0
1695120385,20096.666666666668,135.47866666689515,0.0,0.0,71.62900000065565,1,1.0
1695120388,27667.0,148.99733333289623,0.0,0.0,74.54033333187301,1,1.0
1695120391,27829.333333333332,139.40833333383003,0.0,0.0,69.59133333340287,1,1.0
1695120394,27872.666666666668,150.32699999958277,0.0,0.0,74.86733333393931,1,1.0
1695120397,27614.333333333332,139.71299999952316,0.0,0.0,69.60800000031789,1,1.0
1695120400,27615.666666666668,154.37100000058612,0.0,0.0,76.92433333272736,1,1.0
1695120403,27697.333333333332,135.3580000003179,0.0,0.0,67.45933333287637,1,1.0
1695120406,27611.0,144.7076666665574,0.0,0.0,72.03600000093381,1,1.0
1695120409,27689.0,143.9749999990066,0.0,0.0,71.60533333321412,1,1.0
1695120412,27903.333333333336,148.92466666673621,0.0,0.0,73.97800000011921,1,1.0
1695120415,10089.333333333334,70.8140000005563,0.0,0.0,45.1213333333532,1,1.0
1695120418,648.0,34.619333333025374,0.0,0.0,40.698666666944824,1,1.0
1695120421,526.6666666666666,32.146333334346615,0.0,0.0,38.0389999995629,1,1.0
1695120424,490.66666666666663,31.903333333631355,0.0,0.0,38.05833333233992,1,1.0
1695120427,517.0,31.49233333269755,0.0,0.0,38.03900000080466,1,1.0
1695120430,587.3333333333334,62.93599999944369,0.0,0.0,51.10966666663686,1,1.0
