,timestamp,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type,id
1696,1695120751,0.6666666666666666,212.33333333333331,0.3333333333333333,542804.3333333333,433767132.6666666,395758483.6666666,0.0,1.0,all containers
1697,1695120754,0.3333333333333333,233.33333333333334,0.0,273586.3333333333,355438611.0,229099829.0,0.0,1.0,all containers
1698,1695120757,0.6666666666666666,223.33333333333334,0.3333333333333333,431296.3333333333,363697288.6666666,295725399.6666667,0.0,1.0,all containers
1699,1695120760,0.3333333333333333,341.0,0.3333333333333333,1319782.0,2832272044.666667,2180444276.666667,13.0,1.0,all containers
1700,1695120763,0.6666666666666666,225.0,0.0,2348474.666666667,25129493134.0,8823471293.666666,54.0,1.0,all containers
1701,1695120766,0.3333333333333333,213.33333333333334,0.3333333333333333,2316506.666666667,26302076061.666668,13013336146.0,56.0,1.0,all containers
1702,1695120769,0.6666666666666666,230.66666666666669,0.3333333333333333,5270935.0,24240698635.333336,9764493723.333334,64.0,1.0,all containers
1703,1695120772,0.3333333333333333,209.0,0.6666666666666666,10412358.666666666,26542864084.333336,11772973500.333334,73.0,1.0,all containers
1704,1695120775,0.6666666666666666,227.66666666666669,0.0,10023497.666666666,24667061547.666668,8799009699.333334,71.0,1.0,all containers
1705,1695120778,0.3333333333333333,205.33333333333331,0.3333333333333333,10068881.0,24652185312.333332,12121685307.333332,71.0,1.0,all containers
1706,1695120781,0.6666666666666666,209.0,0.6666666666666666,11285135.333333334,26251315787.0,7793835114.0,73.0,1.0,all containers
1707,1695120784,0.3333333333333333,225.0,0.0,16346645.666666666,23615030202.333332,11076069477.333332,79.0,1.0,all containers
1708,1695120787,0.6666666666666666,218.0,0.6666666666666666,14428794.666666666,26667328259.0,6351640133.666666,79.0,1.0,all containers
1709,1695120790,0.3333333333333333,215.66666666666669,0.3333333333333333,8559632.333333334,24198703073.0,10863184655.0,71.0,1.0,all containers
1710,1695120793,0.6666666666666666,223.66666666666669,0.3333333333333333,9271104.0,24720579413.666668,7034580175.0,82.0,1.0,all containers
1711,1695120796,0.3333333333333333,240.66666666666669,0.3333333333333333,3247539.6666666665,26159028098.333332,13050892368.0,48.0,1.0,all containers
1712,1695120799,0.6666666666666666,273.6666666666667,0.3333333333333333,575704.6666666666,12109482397.333334,5102185494.0,0.0,1.0,all containers
1713,1695120802,0.3333333333333333,408.0,1.6666666666666667,550089.6666666666,690575761.3333333,310339614.3333333,2.0,1.0,all containers
1714,1695120805,0.6666666666666666,229.33333333333334,0.0,324368.0,369973397.6666667,231159713.3333333,0.0,1.0,all containers
1715,1695120808,0.3333333333333333,197.33333333333334,0.0,311479.3333333333,434437550.3333334,239325759.0,0.0,1.0,all containers
1716,1695120811,0.6666666666666666,196.33333333333334,0.6666666666666666,356555.0,546705513.0,288408013.3333334,0.0,1.0,all containers
1717,1695120814,0.3333333333333333,390.66666666666663,0.0,1557574.6666666667,7868089899.666667,4004397635.666667,50.0,1.0,all containers
1718,1695120817,0.6666666666666666,187.0,0.6666666666666666,4430556.666666666,33006822122.0,14004684557.333332,69.0,1.0,all containers
1719,1695120820,0.3333333333333333,236.0,0.0,12995114.333333334,29753636630.666664,12788399942.666668,108.0,1.0,all containers
1720,1695120823,0.3333333333333333,201.66666666666666,0.0,17300756.333333336,31342169043.666668,14411052019.666668,110.0,1.0,all containers
1721,1695120826,0.6666666666666666,244.66666666666666,0.3333333333333333,22343153.0,31695454270.333336,11729666253.0,118.0,1.0,all containers
1722,1695120829,0.3333333333333333,231.66666666666666,0.3333333333333333,28384800.0,29653817066.666664,10553341387.0,129.0,1.0,all containers
1723,1695120832,0.6666666666666666,225.66666666666666,0.3333333333333333,30482251.666666668,33236382315.0,10511853982.0,127.0,1.0,all containers
1724,1695120835,0.3333333333333333,201.66666666666666,0.0,32289086.666666668,29353430926.666668,10791566666.333334,131.0,1.0,all containers
1725,1695120838,0.6666666666666666,233.33333333333331,0.6666666666666666,24724862.0,31675803289.333336,9667699499.666666,125.0,1.0,all containers
1726,1695120841,0.3333333333333333,180.0,0.0,22425226.333333336,31634105720.0,12001394520.333334,128.0,1.0,all containers
1727,1695120844,0.6666666666666666,261.0,0.0,22129029.333333332,29344427630.666664,9490753747.666666,130.0,1.0,all containers
1728,1695120847,0.3333333333333333,192.66666666666669,0.3333333333333333,14810734.333333332,33388321676.66667,16180962241.0,101.0,1.0,all containers
1729,1695120850,0.6666666666666666,289.66666666666663,1.0,557114.6666666666,594564661.6666666,244401291.33333334,0.0,1.0,all containers
1730,1695120853,0.3333333333333333,455.3333333333333,0.0,486153.0,281825697.6666666,247672608.33333334,0.0,1.0,all containers
1731,1695120856,0.6666666666666666,230.66666666666669,0.3333333333333333,253186.0,170488346.0,178168709.6666667,0.0,1.0,all containers
1732,1695120859,0.3333333333333333,211.33333333333334,0.0,354965.6666666666,260678438.0,136417133.3333333,0.0,1.0,all containers
1733,1695120862,0.6666666666666666,373.0,0.0,1006015.3333333334,1521501306.0,641756801.6666667,15.0,1.0,all containers
1734,1695120865,0.3333333333333333,215.00000000000003,0.0,9232125.666666668,32154151306.666664,14781756435.333334,77.0,1.0,all containers
1735,1695120868,0.6666666666666666,243.33333333333331,0.3333333333333333,33931775.0,32279352705.666664,11487050745.666666,118.0,1.0,all containers
1736,1695120871,0.3333333333333333,172.33333333333334,0.0,40774227.66666667,31829381348.666664,12555247573.0,120.0,1.0,all containers
1737,1695120874,0.6666666666666666,262.33333333333337,0.3333333333333333,61122481.333333336,32126227188.666668,7644717943.333333,137.0,1.0,all containers
1738,1695120877,0.3333333333333333,187.0,0.6666666666666666,63795018.0,31997428356.666668,6719910167.333334,137.0,1.0,all containers
1739,1695120880,0.6666666666666666,218.66666666666666,0.0,63830172.33333333,32343017740.333336,8209288781.333334,138.0,1.0,all containers
1740,1695120883,0.3333333333333333,205.0,0.3333333333333333,62784803.0,31750568134.666664,10317179811.0,138.0,1.0,all containers
1741,1695120886,0.6666666666666666,232.0,0.0,63427981.666666664,32828231962.333336,7280843783.666667,136.0,1.0,all containers
1742,1695120889,0.3333333333333333,204.0,0.3333333333333333,65583476.66666667,30922964306.0,6725478457.666666,138.0,1.0,all containers
1743,1695120892,0.6666666666666666,222.33333333333331,0.3333333333333333,73442049.0,33168135970.0,9029647467.333334,138.0,1.0,all containers
