,timestamp,packge_ratio_package,bpf_block_irq,bpf_net_rx_irq,bpf_net_tx_irq,cache_miss,cpu_cycles,cpu_instructions,package_power,core_power,uncore_power,dram_power,node_type,id
20,1695115723,1.0,0.6666666666666666,231.33333333333334,0.3333333333333333,442881.0,19063326184.0,9313630889.666668,41.83466666688521,0.0,0.0,10.620333333810173,1.0,all containers
21,1695115726,1.0,0.3333333333333333,272.0,0.0,420896.6666666667,19836375756.666668,8631225639.0,42.10266666859388,0.0,0.0,11.168999999761581,1.0,all containers
22,1695115729,1.0,0.6666666666666666,213.66666666666666,0.3333333333333333,445277.0,19885597072.666668,9102356968.333334,41.05333333462477,0.0,0.0,10.21133333568772,1.0,all containers
23,1695115732,1.0,0.3333333333333333,199.33333333333334,0.0,264917.0,20910288483.666668,8986883773.333332,41.74066666637857,0.0,0.0,11.118333333482347,1.0,all containers
24,1695115735,1.0,0.6666666666666666,244.66666666666666,0.3333333333333333,407979.0,21329137512.666668,9027986362.333332,41.5016666688025,0.0,0.0,10.621000000586115,1.0,all containers
25,1695115738,1.0,0.3333333333333333,184.66666666666669,0.3333333333333333,287931.3333333333,20107589749.333332,9521619717.0,41.84866666793823,0.0,0.0,10.873999999215208,1.0,all containers
26,1695115741,1.0,0.6666666666666666,270.3333333333333,1.0,569743.3333333334,1761530336.3333335,796690648.3333333,2.6896666660904884,0.0,0.0,2.6993333349625317,1.0,all containers
27,1695115744,1.0,0.3333333333333333,347.6666666666667,0.6666666666666666,409453.6666666667,350419649.0,291965685.3333334,0.6550000011920929,0.0,0.0,0.0,1.0,all containers
28,1695115747,1.0,0.6666666666666666,215.33333333333334,0.0,460708.3333333334,329998973.0,305784097.6666666,0.5683333352208138,0.0,0.0,0.0,1.0,all containers
29,1695115750,1.0,0.3333333333333333,201.0,0.3333333333333333,430622.0,247654222.0,290698291.0,0.7153333338598458,0.0,0.0,0.012333334734044854,1.0,all containers
30,1695115753,1.0,0.6666666666666666,365.66666666666663,0.0,807825.3333333334,582947119.3333334,396993113.3333334,3.2253333342572077,0.0,0.0,2.535999999692045,1.0,all containers
31,1695115756,1.0,0.3333333333333333,292.0,0.0,548977.3333333334,21426069324.0,11116971478.0,46.74033333485325,0.0,0.0,11.152666668097183,1.0,all containers
32,1695115759,1.0,0.6666666666666666,212.66666666666669,0.6666666666666666,314549.6666666666,21872147713.666668,11105983433.0,47.293666668236256,0.0,0.0,10.221666666368648,1.0,all containers
33,1695115762,1.0,0.3333333333333333,197.66666666666669,0.0,281500.0,21719372371.333336,11122286307.0,48.526666667312384,0.0,0.0,10.973666666696474,1.0,all containers
34,1695115765,1.0,0.6666666666666666,229.33333333333334,0.0,478080.3333333334,22314142677.0,11201510346.333332,47.79800000041723,0.0,0.0,10.397666666656733,1.0,all containers
