timestamp,cache_miss,cpu_cycles,cpu_instructions,platform_power,node_type
1695115783,352760.6666666666,22457359417.666664,11240958080.0,229.0,1
1695115786,649610.0,2176136842.0,1647598859.3333335,171.0,1
1695115789,850608.0,504024786.3333333,522018499.3333334,171.0,1
1695115792,339486.3333333334,330233904.0,301100894.6666667,171.0,1
1695115795,254133.0,363637223.6666666,242832212.0,171.0,1
1695115798,846723.0,839643329.3333333,744738425.6666666,173.0,1
1695115801,503052.0,18959592263.333336,10350860314.333332,212.0,1
1695115804,341955.3333333334,20194799755.333336,10538572349.666668,212.0,1
1695115807,566221.3333333333,21981620872.0,12779663714.333332,212.0,1
1695115810,420791.3333333334,21692348819.666668,10486786486.0,211.0,1
1695115813,309247.0,21525728798.333336,11358376513.666668,213.0,1
1695115816,400545.6666666666,22195672493.333332,12016566374.0,212.0,1
1695115819,521882.3333333334,21489485866.333332,11318298915.666668,211.0,1
1695115822,524850.6666666667,21756833010.333332,10498989428.666668,213.0,1
1695115825,350936.0,21268313612.0,12878590478.666668,210.0,1
1695115828,501291.0,21156824187.666668,10295124876.0,212.0,1
1695115831,795374.3333333334,3073111802.666667,1576081701.6666665,177.0,1
1695115834,433989.3333333334,468344456.3333333,206311100.6666667,171.0,1
1695115837,485971.3333333334,473460704.6666667,183060386.0,171.0,1
1695115840,399289.3333333334,370300988.3333334,185794813.66666666,171.0,1
1695115843,1006470.6666666666,1071253207.0,601297551.6666667,175.0,1
1695115846,1133957.3333333335,22154528354.333336,14727113992.333332,218.0,1
1695115849,648812.6666666666,24573742999.333332,15269310694.0,218.0,1
1695115852,441877.0,25975847382.333336,16188215736.333332,219.0,1
1695115855,441261.3333333334,24913759956.333336,16297900415.0,220.0,1
1695115858,507213.0,24330454128.0,15207558651.666668,221.0,1
1695115861,422678.3333333334,26416893006.333336,16259412850.666666,218.0,1
1695115864,353618.3333333334,23976477307.333332,16147733786.333332,219.0,1
1695115867,459732.3333333334,25657061943.0,15441640498.666666,220.0,1
1695115870,533238.6666666666,25569559458.666664,16025099418.333332,219.0,1
1695115873,434584.3333333334,23918668901.0,16355944980.333332,220.0,1
1695115876,498984.3333333333,5862990805.666666,3655806758.666667,171.0,1
1695115879,477640.6666666667,668173057.6666667,401119528.3333333,173.0,1
1695115882,304301.3333333334,446159259.0,179419450.3333333,171.0,1
1695115885,389649.3333333334,419713521.6666667,138550312.3333333,171.0,1
1695115888,671380.0,830066121.0,367762212.0,176.0,1
1695115891,1154593.6666666667,23721035943.666668,16771386649.666668,235.0,1
1695115894,812178.3333333334,29614994268.666664,24923944261.333332,232.0,1
