,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
129,1695116050,0.0,0.0,0.0,0.0,68.0,1.0,all containers
130,1695116053,0.0,0.0,0.0,0.0,70.0,1.0,all containers
131,1695116056,83580.0,0.0,9072.0,74515.0,0.0,1.0,all containers
132,1695116059,192480.0,0.0,24820.0,167660.0,0.0,1.0,all containers
133,1695116062,0.0,0.0,0.0,0.0,0.0,1.0,all containers
134,1695116065,0.0,0.0,0.0,0.0,0.0,1.0,all containers
135,1695116068,0.0,0.0,0.0,0.0,0.0,1.0,all containers
136,1695116071,394453.3333333334,709973.3333333333,146226.66666666666,248226.6666666667,11.0,1.0,all containers
137,1695116074,27133.333333333332,30037.333333333332,10838.666666666668,16294.666666666666,53.0,1.0,all containers
138,1695116077,0.0,0.0,0.0,0.0,51.0,1.0,all containers
139,1695116080,0.0,0.0,0.0,0.0,53.0,1.0,all containers
140,1695116083,0.0,0.0,0.0,0.0,53.0,1.0,all containers
141,1695116086,0.0,0.0,0.0,0.0,53.0,1.0,all containers
142,1695116089,0.0,0.0,0.0,0.0,53.0,1.0,all containers
143,1695116092,0.0,0.0,0.0,0.0,54.0,1.0,all containers
144,1695116095,0.0,0.0,0.0,0.0,52.0,1.0,all containers
145,1695116098,0.0,0.0,0.0,0.0,52.0,1.0,all containers
146,1695116101,68248.0,0.0,16257.666666666666,51984.0,37.0,1.0,all containers
147,1695116104,191367.33333333334,1365.3333333333333,66096.66666666666,125276.66666666667,0.0,1.0,all containers
148,1695116107,0.0,0.0,0.0,0.0,0.0,1.0,all containers
149,1695116110,0.0,0.0,0.0,0.0,1.0,1.0,all containers
150,1695116113,0.0,0.0,0.0,0.0,0.0,1.0,all containers
151,1695116116,376380.0,663552.0,77544.0,298836.0,37.0,1.0,all containers
152,1695116119,0.0,0.0,0.0,0.0,69.0,1.0,all containers
153,1695116122,0.0,0.0,0.0,0.0,71.0,1.0,all containers
154,1695116125,0.0,0.0,0.0,0.0,73.0,1.0,all containers
155,1695116128,0.0,0.0,0.0,0.0,69.0,1.0,all containers
156,1695116131,0.0,0.0,0.0,0.0,71.0,1.0,all containers
157,1695116134,22380.0,0.0,0.0,22373.333333333336,70.0,1.0,all containers
158,1695116137,0.0,0.0,0.0,0.0,71.0,1.0,all containers
159,1695116140,0.0,0.0,0.0,0.0,69.0,1.0,all containers
160,1695116143,0.0,0.0,0.0,0.0,73.0,1.0,all containers
161,1695116146,95613.33333333334,0.0,6646.666666666666,88966.66666666666,71.0,1.0,all containers
162,1695116149,185547.66666666666,0.0,35656.66666666667,149891.0,0.0,1.0,all containers
163,1695116152,0.0,0.0,0.0,0.0,0.0,1.0,all containers
164,1695116155,0.0,0.0,0.0,0.0,0.0,1.0,all containers
165,1695116158,0.0,0.0,0.0,0.0,0.0,1.0,all containers
166,1695116161,401058.3333333333,700416.0,88818.66666666667,312239.6666666667,29.0,1.0,all containers
167,1695116164,0.0,0.0,0.0,0.0,103.0,1.0,all containers
168,1695116167,0.0,0.0,0.0,0.0,102.0,1.0,all containers
169,1695116170,0.0,0.0,0.0,0.0,104.0,1.0,all containers
170,1695116173,0.0,0.0,0.0,0.0,103.0,1.0,all containers
171,1695116176,0.0,0.0,0.0,0.0,102.0,1.0,all containers
172,1695116179,0.0,0.0,0.0,0.0,104.0,1.0,all containers
173,1695116182,0.0,0.0,0.0,0.0,103.0,1.0,all containers
174,1695116185,0.0,0.0,0.0,0.0,104.0,1.0,all containers
175,1695116188,0.0,0.0,0.0,0.0,103.0,1.0,all containers
176,1695116191,81662.0,0.0,8302.0,73360.0,103.0,1.0,all containers
177,1695116194,222719.0,0.0,107324.0,115395.0,0.0,1.0,all containers
178,1695116197,0.0,0.0,0.0,0.0,0.0,1.0,all containers
179,1695116200,0.0,0.0,0.0,0.0,0.0,1.0,all containers
180,1695116203,0.0,0.0,0.0,0.0,0.0,1.0,all containers
181,1695116206,426173.3333333334,682666.6666666667,72040.0,354133.3333333334,13.0,1.0,all containers
182,1695116209,0.0,0.0,0.0,0.0,116.0,1.0,all containers
183,1695116212,0.0,0.0,0.0,0.0,114.0,1.0,all containers
184,1695116215,0.0,0.0,0.0,0.0,114.0,1.0,all containers
185,1695116218,0.0,0.0,0.0,0.0,114.0,1.0,all containers
186,1695116221,0.0,0.0,0.0,0.0,113.0,1.0,all containers
187,1695116224,0.0,0.0,0.0,0.0,113.0,1.0,all containers
188,1695116227,0.0,0.0,0.0,0.0,114.0,1.0,all containers
189,1695116230,0.0,0.0,0.0,0.0,115.0,1.0,all containers
190,1695116233,0.0,0.0,0.0,0.0,114.0,1.0,all containers
191,1695116236,0.0,0.0,0.0,0.0,115.0,1.0,all containers
192,1695116239,240692.0,0.0,52224.666666666664,188467.33333333334,0.0,1.0,all containers
193,1695116242,15378.0,0.0,6144.0,9240.0,0.0,1.0,all containers
194,1695116245,0.0,0.0,0.0,0.0,0.0,1.0,all containers
195,1695116248,0.0,0.0,0.0,0.0,0.0,1.0,all containers
196,1695116251,221795.0,1155072.0,57405.666666666664,164389.3333333333,0.0,1.0,all containers
197,1695116254,134971.0,1155072.0,64400.333333333336,70570.66666666666,122.0,1.0,all containers
198,1695116257,0.0,0.0,0.0,0.0,119.0,1.0,all containers
199,1695116260,0.0,0.0,0.0,0.0,120.0,1.0,all containers
200,1695116263,0.0,0.0,0.0,0.0,121.0,1.0,all containers
201,1695116266,0.0,0.0,0.0,0.0,120.0,1.0,all containers
202,1695116269,0.0,0.0,0.0,0.0,121.0,1.0,all containers
203,1695116272,0.0,0.0,0.0,0.0,122.0,1.0,all containers
204,1695116275,0.0,0.0,0.0,0.0,121.0,1.0,all containers
205,1695116278,0.0,0.0,0.0,0.0,121.0,1.0,all containers
206,1695116281,0.0,0.0,0.0,0.0,122.0,1.0,all containers
207,1695116284,261586.6666666667,191146.6666666667,75666.66666666667,185913.3333333333,8.0,1.0,all containers
208,1695116287,24636.666666666668,181589.33333333334,0.0,24636.666666666668,0.0,1.0,all containers
209,1695116290,0.0,0.0,0.0,0.0,0.0,1.0,all containers
210,1695116293,0.0,0.0,0.0,0.0,0.0,1.0,all containers
211,1695116296,258227.33333333334,1164629.3333333333,8324.0,249904.33333333334,0.0,1.0,all containers
212,1695116299,101653.0,1123669.3333333333,29372.666666666664,72279.33333333333,119.0,1.0,all containers
213,1695116302,0.0,0.0,0.0,0.0,120.0,1.0,all containers
214,1695116305,0.0,0.0,0.0,0.0,119.0,1.0,all containers
215,1695116308,0.0,0.0,0.0,0.0,118.0,1.0,all containers
