,timestamp,bpf_cpu_time_us,platform_power,node_type,id
1447,1695120004,9234.0,16.0,1.0,all containers
1448,1695120007,535.3333333333333,0.0,1.0,all containers
1449,1695120010,516.6666666666667,0.0,1.0,all containers
1450,1695120013,501.33333333333337,0.0,1.0,all containers
1451,1695120016,502.0,0.0,1.0,all containers
1452,1695120019,577.0,132.0,1.0,all containers
1453,1695120022,22522.333333333336,132.0,1.0,all containers
1454,1695120025,22563.666666666668,134.0,1.0,all containers
1455,1695120028,22711.666666666664,136.0,1.0,all containers
1456,1695120031,22604.333333333332,135.0,1.0,all containers
1457,1695120034,22562.333333333332,132.0,1.0,all containers
1458,1695120037,22650.666666666668,133.0,1.0,all containers
1459,1695120040,22642.666666666664,136.0,1.0,all containers
1460,1695120043,22575.666666666668,134.0,1.0,all containers
1461,1695120046,22833.0,132.0,1.0,all containers
1462,1695120049,16638.0,93.0,1.0,all containers
1463,1695120052,694.6666666666667,0.0,1.0,all containers
1464,1695120055,499.66666666666663,0.0,1.0,all containers
1465,1695120058,518.0,0.0,1.0,all containers
1466,1695120061,524.6666666666666,0.0,1.0,all containers
1467,1695120064,509.3333333333333,109.0,1.0,all containers
1468,1695120067,27558.666666666668,135.0,1.0,all containers
1469,1695120070,27737.666666666668,136.0,1.0,all containers
1470,1695120073,27547.0,134.0,1.0,all containers
1471,1695120076,27681.333333333336,136.0,1.0,all containers
1472,1695120079,27599.666666666668,135.0,1.0,all containers
1473,1695120082,27524.666666666668,134.0,1.0,all containers
1474,1695120085,27521.666666666664,137.0,1.0,all containers
1475,1695120088,27568.333333333332,136.0,1.0,all containers
1476,1695120091,27663.333333333332,136.0,1.0,all containers
1477,1695120094,23962.666666666664,158.0,1.0,all containers
1478,1695120097,524.3333333333334,0.0,1.0,all containers
1479,1695120100,550.0,0.0,1.0,all containers
1480,1695120103,504.33333333333337,0.0,1.0,all containers
1481,1695120106,495.0,0.0,1.0,all containers
1482,1695120109,591.3333333333334,10.0,1.0,all containers
1483,1695120112,21406.666666666664,136.0,1.0,all containers
1484,1695120115,27630.0,135.0,1.0,all containers
1485,1695120118,27623.0,136.0,1.0,all containers
1486,1695120121,27674.666666666664,137.0,1.0,all containers
1487,1695120124,27761.333333333332,136.0,1.0,all containers
1488,1695120127,27680.333333333336,135.0,1.0,all containers
1489,1695120130,27705.0,136.0,1.0,all containers
1490,1695120133,27539.0,137.0,1.0,all containers
1491,1695120136,27678.333333333336,135.0,1.0,all containers
1492,1695120139,27630.333333333332,134.0,1.0,all containers
1493,1695120142,8822.666666666666,14.0,1.0,all containers
1494,1695120145,526.6666666666666,0.0,1.0,all containers
1495,1695120148,455.0,0.0,1.0,all containers
1496,1695120151,567.0,0.0,1.0,all containers
1497,1695120154,519.3333333333334,2.0,1.0,all containers
1498,1695120157,614.6666666666666,67.0,1.0,all containers
1499,1695120160,4346.0,84.0,1.0,all containers
1500,1695120163,4319.666666666666,82.0,1.0,all containers
1501,1695120166,4314.0,81.0,1.0,all containers
1502,1695120169,4347.666666666667,79.0,1.0,all containers
1503,1695120172,4458.0,80.0,1.0,all containers
1504,1695120175,4271.0,80.0,1.0,all containers
1505,1695120178,4291.333333333333,81.0,1.0,all containers
1506,1695120181,4312.0,80.0,1.0,all containers
1507,1695120184,4267.0,80.0,1.0,all containers
1508,1695120187,2657.6666666666665,0.0,1.0,all containers
1509,1695120190,524.3333333333333,4.0,1.0,all containers
1510,1695120193,534.6666666666666,0.0,1.0,all containers
1511,1695120196,504.33333333333337,0.0,1.0,all containers
1512,1695120199,513.6666666666667,0.0,1.0,all containers
1513,1695120202,598.0,44.0,1.0,all containers
1514,1695120205,7934.666666666667,95.0,1.0,all containers
1515,1695120208,7986.666666666667,95.0,1.0,all containers
1516,1695120211,7963.333333333333,97.0,1.0,all containers
1517,1695120214,7992.666666666667,96.0,1.0,all containers
1518,1695120217,8036.333333333333,97.0,1.0,all containers
1519,1695120220,7985.666666666667,95.0,1.0,all containers
1520,1695120223,8032.0,96.0,1.0,all containers
1521,1695120226,7985.666666666667,95.0,1.0,all containers
1522,1695120229,7957.0,94.0,1.0,all containers
1523,1695120232,5517.333333333334,19.0,1.0,all containers
1524,1695120235,532.0,0.0,1.0,all containers
1525,1695120238,502.0,0.0,1.0,all containers
1526,1695120241,498.66666666666663,0.0,1.0,all containers
1527,1695120244,520.3333333333334,0.0,1.0,all containers
1528,1695120247,543.6666666666666,150.0,1.0,all containers
1529,1695120250,14524.333333333334,159.0,1.0,all containers
1530,1695120253,14536.0,160.0,1.0,all containers
1531,1695120256,14467.666666666668,161.0,1.0,all containers
1532,1695120259,14542.666666666666,159.0,1.0,all containers
1533,1695120262,14521.666666666666,159.0,1.0,all containers
1534,1695120265,14536.999999999998,161.0,1.0,all containers
1535,1695120268,14485.0,161.0,1.0,all containers
1536,1695120271,14630.0,161.0,1.0,all containers
1537,1695120274,14514.666666666666,162.0,1.0,all containers
1538,1695120277,10921.0,101.0,1.0,all containers
1539,1695120280,560.6666666666666,1.0,1.0,all containers
1540,1695120283,511.66666666666663,3.0,1.0,all containers
1541,1695120286,659.0,0.0,1.0,all containers
1542,1695120289,455.0,1.0,1.0,all containers
1543,1695120292,520.3333333333333,111.0,1.0,all containers
1544,1695120295,22646.333333333332,163.0,1.0,all containers
1545,1695120298,22704.0,164.0,1.0,all containers
1546,1695120301,22639.0,162.0,1.0,all containers
1547,1695120304,22738.333333333332,163.0,1.0,all containers
1548,1695120307,22664.333333333336,163.0,1.0,all containers
1549,1695120310,22723.0,163.0,1.0,all containers
1550,1695120313,22704.666666666668,162.0,1.0,all containers
1551,1695120316,22655.0,163.0,1.0,all containers
1552,1695120319,22658.666666666668,164.0,1.0,all containers
1553,1695120322,19223.0,166.0,1.0,all containers
1554,1695120325,536.6666666666667,2.0,1.0,all containers
1555,1695120328,542.6666666666667,0.0,1.0,all containers
1556,1695120331,516.0,0.0,1.0,all containers
1557,1695120334,524.6666666666667,0.0,1.0,all containers
1558,1695120337,569.6666666666666,26.0,1.0,all containers
1559,1695120340,27378.0,163.0,1.0,all containers
1560,1695120343,27928.0,163.0,1.0,all containers
1561,1695120346,27668.666666666664,163.0,1.0,all containers
1562,1695120349,27609.666666666668,164.0,1.0,all containers
1563,1695120352,27837.333333333332,164.0,1.0,all containers
1564,1695120355,27797.666666666668,164.0,1.0,all containers
1565,1695120358,27829.0,164.0,1.0,all containers
1566,1695120361,27936.333333333336,163.0,1.0,all containers
1567,1695120364,27826.333333333336,164.0,1.0,all containers
1568,1695120367,27667.0,165.0,1.0,all containers
1569,1695120370,2580.0,0.0,1.0,all containers
1570,1695120373,528.6666666666666,0.0,1.0,all containers
1571,1695120376,499.3333333333333,0.0,1.0,all containers
1572,1695120379,526.6666666666666,0.0,1.0,all containers
1573,1695120382,565.6666666666666,4.0,1.0,all containers
1574,1695120385,20096.666666666668,164.0,1.0,all containers
1575,1695120388,27667.0,162.0,1.0,all containers
1576,1695120391,27829.333333333332,163.0,1.0,all containers
1577,1695120394,27872.666666666668,162.0,1.0,all containers
1578,1695120397,27614.333333333332,165.0,1.0,all containers
1579,1695120400,27615.666666666668,164.0,1.0,all containers
1580,1695120403,27697.333333333332,165.0,1.0,all containers
1581,1695120406,27611.0,165.0,1.0,all containers
1582,1695120409,27689.0,165.0,1.0,all containers
1583,1695120412,27903.333333333336,164.0,1.0,all containers
1584,1695120415,10089.333333333334,0.0,1.0,all containers
1585,1695120418,648.0,1.0,1.0,all containers
1586,1695120421,526.6666666666666,1.0,1.0,all containers
1587,1695120424,490.66666666666663,0.0,1.0,all containers
1588,1695120427,517.0,0.0,1.0,all containers
1589,1695120430,587.3333333333334,29.0,1.0,all containers
1590,1695120433,4247.666666666667,92.0,1.0,all containers
1591,1695120436,4290.333333333334,94.0,1.0,all containers
1592,1695120439,4289.0,92.0,1.0,all containers
1593,1695120442,4300.0,93.0,1.0,all containers
1594,1695120445,4291.666666666667,94.0,1.0,all containers
1595,1695120448,4302.333333333334,95.0,1.0,all containers
1596,1695120451,4250.333333333334,95.0,1.0,all containers
1597,1695120454,4261.0,95.0,1.0,all containers
1598,1695120457,4304.0,94.0,1.0,all containers
1599,1695120460,3120.333333333333,32.0,1.0,all containers
1600,1695120463,544.3333333333334,0.0,1.0,all containers
1601,1695120466,473.33333333333337,0.0,1.0,all containers
1602,1695120469,518.6666666666666,0.0,1.0,all containers
1603,1695120472,515.6666666666666,0.0,1.0,all containers
1604,1695120475,558.6666666666667,103.0,1.0,all containers
1605,1695120478,8036.333333333333,118.0,1.0,all containers
1606,1695120481,8029.666666666666,119.0,1.0,all containers
1607,1695120484,7978.666666666666,120.0,1.0,all containers
1608,1695120487,8039.666666666667,118.0,1.0,all containers
1609,1695120490,7990.333333333333,119.0,1.0,all containers
1610,1695120493,8038.0,120.0,1.0,all containers
1611,1695120496,8008.333333333333,121.0,1.0,all containers
1612,1695120499,8045.333333333334,119.0,1.0,all containers
1613,1695120502,8019.0,120.0,1.0,all containers
1614,1695120505,6057.0,76.0,1.0,all containers
1615,1695120508,676.6666666666666,0.0,1.0,all containers
1616,1695120511,540.0,0.0,1.0,all containers
1617,1695120514,484.3333333333333,3.0,1.0,all containers
1618,1695120517,521.0,0.0,1.0,all containers
1619,1695120520,552.6666666666666,137.0,1.0,all containers
1620,1695120523,14562.666666666666,204.0,1.0,all containers
1621,1695120526,14558.333333333334,203.0,1.0,all containers
1622,1695120529,14397.0,203.0,1.0,all containers
1623,1695120532,14413.666666666666,204.0,1.0,all containers
1624,1695120535,14407.666666666666,202.0,1.0,all containers
1625,1695120538,14430.333333333332,207.0,1.0,all containers
1626,1695120541,14425.0,207.0,1.0,all containers
1627,1695120544,14443.333333333332,207.0,1.0,all containers
1628,1695120547,14438.666666666666,206.0,1.0,all containers
1629,1695120550,11136.333333333332,181.0,1.0,all containers
1630,1695120553,469.3333333333333,6.0,1.0,all containers
1631,1695120556,464.0,0.0,1.0,all containers
1632,1695120559,549.6666666666666,0.0,1.0,all containers
1633,1695120562,500.0,0.0,1.0,all containers
1634,1695120565,539.0,60.0,1.0,all containers
1635,1695120568,22695.999999999996,206.0,1.0,all containers
1636,1695120571,22772.333333333332,204.0,1.0,all containers
1637,1695120574,22797.333333333332,204.0,1.0,all containers
1638,1695120577,22777.000000000004,205.0,1.0,all containers
1639,1695120580,22669.0,206.0,1.0,all containers
1640,1695120583,22760.666666666664,209.0,1.0,all containers
1641,1695120586,22761.333333333336,210.0,1.0,all containers
