timestamp,bpf_cpu_time_us,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,cpu_cycles,cpu_instructions,kubelet_cpu_usage,kubelet_memory_bytes,package_power,core_power,uncore_power,dram_power,node_type,packge_ratio_package
1695118780,567.6666666666666,423238.0,15472.333333333334,907946.6666666666,0.0,15472.333333333334,521721004.0,496503184.6666667,0.0,2730.6666666666665,32.49666666736206,0.0,0.0,38.23699999973178,1,1.0
1695118783,513.0,315960.0,0.0,0.0,0.0,0.0,391209869.6666666,360643423.3333333,0.3333333333333333,1365.3333333333333,31.123333332439262,0.0,0.0,38.0389999995629,1,1.0
1695118786,432.0,394851.3333333334,0.0,0.0,0.0,0.0,450469486.6666667,378001539.0,0.0,118784.0,32.29099999989072,0.0,0.0,39.04200000067552,1,1.0
1695118789,562.3333333333334,658967.0,225536.33333333334,363178.6666666667,41458.0,184084.66666666666,510006961.0,511007759.6666666,0.0,0.0,33.30600000048677,0.0,0.0,39.34333333248893,1,1.0
1695118792,593.3333333333333,835718.0,147750.3333333333,337237.3333333333,14940.333333333334,132810.0,14221884636.333332,5100533018.0,0.9999999999999999,267605.3333333334,79.5496666667362,0.0,0.0,48.85566666722298,1,1.0
1695118795,4325.333333333333,360719.3333333333,0.0,0.0,0.0,0.0,26530823958.0,12517156707.0,4.0,232106.66666666666,92.3676666667064,0.0,0.0,48.5679999999702,1,1.0
1695118798,4309.0,506461.6666666666,0.0,0.0,0.0,0.0,28601062529.333332,14889546300.666666,4.0,405504.0,94.3923333324492,0.0,0.0,49.3596666653951,1,1.0
1695118801,4338.333333333334,368917.6666666666,0.0,0.0,0.0,0.0,26636586150.0,14999078615.333332,2.0,0.0,92.25000000124176,0.0,0.0,48.40800000106295,1,1.0
1695118804,4315.0,356803.6666666666,0.0,0.0,0.0,0.0,27198970502.0,11678303217.333332,0.0,17749.333333333332,93.28199999903639,0.0,0.0,49.10300000011921,1,1.0
1695118807,4415.333333333334,555189.6666666666,0.0,0.0,0.0,0.0,27776523968.333332,14025058335.666666,0.0,0.0,93.80466666817665,0.0,0.0,48.820666667073965,1,1.0
1695118810,4345.666666666667,543553.6666666667,0.0,0.0,0.0,0.0,25846046353.333332,14258532352.666668,0.6666666666666666,1275221.3333333333,93.52999999870856,0.0,0.0,48.97366666669647,1,1.0
1695118813,4285.0,309712.0,0.0,0.0,0.0,0.0,26678501882.666668,11583185463.666668,18.333333333333332,61440.0,92.30499999970198,0.0,0.0,48.49700000012914,1,1.0
1695118816,4339.333333333334,389240.6666666666,0.0,0.0,0.0,0.0,27523909960.333332,14948359621.666666,0.0,0.0,93.87933333466451,0.0,0.0,49.03099999949336,1,1.0
1695118819,4354.333333333333,633449.6666666666,0.0,0.0,0.0,0.0,27124578669.666668,15260845982.333332,0.0,60074.66666666667,93.38899999856949,0.0,0.0,48.59899999946356,1,1.0
1695118822,1723.0,605637.3333333333,284088.0,143360.0,22428.0,261660.0,10110264975.333334,3500349401.0,0.0,43690.666666666664,51.052333333839975,0.0,0.0,40.58100000023842,1,1.0
1695118825,516.0,514599.0,25333.333333333336,136533.33333333334,16026.666666666668,9300.0,451200155.3333334,107850415.0,0.3333333333333333,619861.3333333333,32.66766666745146,0.0,0.0,39.826000000039734,1,1.0
1695118828,546.0,344374.6666666667,0.0,0.0,0.0,0.0,378513019.3333334,141315298.66666666,0.0,64170.666666666664,31.83999999860923,0.0,0.0,38.0389999995629,1,1.0
1695118831,516.6666666666666,267741.0,0.0,0.0,0.0,0.0,394980344.3333333,174209020.66666666,0.3333333333333333,53248.0,31.567666667203113,0.0,0.0,38.40000000099341,1,1.0
1695118834,503.0,532873.3333333333,87473.33333333334,846506.6666666667,220.0,87260.0,549042973.0,172618055.33333334,0.3333333333333333,252586.6666666667,33.03399999936422,0.0,0.0,39.649000000208616,1,1.0
1695118837,578.3333333333334,958465.6666666666,322580.0,846506.6666666667,134906.66666666666,187673.3333333333,16078253967.333334,7199192330.0,0.0,21845.333333333332,97.5976666683952,0.0,0.0,48.60066666702429,1,1.0
1695118840,8143.666666666666,384467.6666666667,0.0,0.0,0.0,0.0,35325662805.33333,21467474605.333332,8.333333333333334,98304.0,120.53733333200216,0.0,0.0,49.07966666544477,1,1.0
1695118843,8125.666666666667,397558.6666666667,0.0,0.0,0.0,0.0,36760895377.333336,18838241770.0,8.0,158378.66666666666,119.15266666809718,0.0,0.0,48.66599999989072,1,1.0
1695118846,8257.0,766125.0,0.0,0.0,0.0,0.0,35943575887.0,19529308525.666664,8.333333333333334,4096.0,121.12166666487853,0.0,0.0,49.092000000178814,1,1.0
1695118849,8141.666666666667,391283.0,0.0,0.0,0.0,0.0,36337286598.0,21342590979.0,8.666666666666668,178858.6666666667,120.46300000076492,0.0,0.0,48.78366666659713,1,1.0
1695118852,8157.666666666667,415788.0,0.0,0.0,0.0,0.0,36850029133.0,19976175045.0,5.333333333333334,7839744.0,121.125,0.0,0.0,49.02433333421747,1,1.0
