,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
480,2645,SGDRegressorTrainer_169,scikit,SGDRegressorTrainer_169.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.74,16.39,2.74,16.39,SGDRegressorTrainer,169,BPFOnly
481,1506,XgboostFitTrainer_34,xgboost,XgboostFitTrainer_34.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.76,16.57,2.76,16.57,XgboostFitTrainer,34,BPFOnly
482,1136,LogarithmicRegressionTrainer_170,curvefit,LogarithmicRegressionTrainer_170.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.77,2.67,2.77,2.67,LogarithmicRegressionTrainer,170,BPFOnly
483,1998,ExponentialRegressionTrainer_102,curvefit,ExponentialRegressionTrainer_102.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.77,4.66,2.77,4.66,ExponentialRegressionTrainer,102,BPFOnly
484,2227,LogarithmicRegressionTrainer_11,curvefit,LogarithmicRegressionTrainer_11.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.77,10.36,2.77,10.36,LogarithmicRegressionTrainer,11,BPFOnly
485,2505,LogarithmicRegressionTrainer_125,curvefit,LogarithmicRegressionTrainer_125.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.77,11.33,2.77,11.33,LogarithmicRegressionTrainer,125,BPFOnly
486,1870,LogisticRegressionTrainer_263,curvefit,LogisticRegressionTrainer_263.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.79,12.47,2.79,12.47,LogisticRegressionTrainer,263,BPFOnly
487,36,LogisticRegressionTrainer_78,curvefit,LogisticRegressionTrainer_78.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.8,6.52,2.8,6.52,LogisticRegressionTrainer,78,BPFOnly
488,1056,LogarithmicRegressionTrainer_22,curvefit,LogarithmicRegressionTrainer_22.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.8,4.49,2.8,4.49,LogarithmicRegressionTrainer,22,BPFOnly
489,3039,PolynomialRegressionTrainer_27,scikit,PolynomialRegressionTrainer_27.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,2.8,6.41,2.8,6.41,PolynomialRegressionTrainer,27,BPFOnly
490,1754,LinearRegressionTrainer_58,scikit,LinearRegressionTrainer_58.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.81,9.73,2.81,9.73,LinearRegressionTrainer,58,BPFOnly
491,833,GradientBoostingRegressorTrainer_100,scikit,GradientBoostingRegressorTrainer_100.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.82,4.47,2.82,4.47,GradientBoostingRegressorTrainer,100,BPFOnly
492,1345,ExponentialRegressionTrainer_283,curvefit,ExponentialRegressionTrainer_283.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.82,4.2,2.82,4.2,ExponentialRegressionTrainer,283,BPFOnly
493,1866,KNeighborsRegressorTrainer_263,scikit,KNeighborsRegressorTrainer_263.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.82,21.76,2.82,21.76,KNeighborsRegressorTrainer,263,BPFOnly
494,2139,XgboostFitTrainer_243,xgboost,XgboostFitTrainer_243.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.82,10.64,2.82,10.64,XgboostFitTrainer,243,BPFOnly
495,873,ExponentialRegressionTrainer_290,curvefit,ExponentialRegressionTrainer_290.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.84,14.86,2.84,14.86,ExponentialRegressionTrainer,290,BPFOnly
496,1718,KNeighborsRegressorTrainer_92,scikit,KNeighborsRegressorTrainer_92.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.84,6.39,2.84,6.39,KNeighborsRegressorTrainer,92,BPFOnly
497,1907,KNeighborsRegressorTrainer_276,scikit,KNeighborsRegressorTrainer_276.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.84,3.4,2.84,3.4,KNeighborsRegressorTrainer,276,BPFOnly
498,2711,SVRRegressorTrainer_168,scikit,SVRRegressorTrainer_168.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.85,26.81,2.85,26.81,SVRRegressorTrainer,168,BPFOnly
499,1051,LogarithmicRegressionTrainer_213,curvefit,LogarithmicRegressionTrainer_213.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.88,4.37,2.88,4.37,LogarithmicRegressionTrainer,213,BPFOnly
500,2464,LogarithmicRegressionTrainer_124,curvefit,LogarithmicRegressionTrainer_124.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.88,8.56,2.88,8.56,LogarithmicRegressionTrainer,124,BPFOnly
